Temperature,Humidity,Air_Pressure,Wind_Speed,Weather_Condition
25.07,10.01,998.89,0.44,Sunny
29.62,76.66,988.91,1.22,Rainy
7.83,69.0,952.23,36.7,Stormy
15.87,79.7,972.47,18.17,Cloudy
29.75,61.68,1039.54,29.21,Partly Cloudy
32.34,30.89,984.42,6.62,Sunny
27.14,85.16,998.11,14.92,Rainy
3.8,93.78,972.99,34.2,Stormy
22.98,62.53,1005.02,18.22,Cloudy
17.64,62.4,1010.91,14.76,Partly Cloudy
26.64,36.86,981.42,12.95,Sunny
20.4,89.18,1006.89,3.03,Rainy
8.5,88.22,987.88,40.51,Stormy
19.37,72.73,1010.46,21.43,Cloudy
17.08,69.87,1000.42,5.61,Partly Cloudy
30.44,13.83,984.86,4.22,Sunny
15.8,90.66,972.96,4.07,Rainy
1.39,53.16,963.39,41.44,Stormy
24.47,76.27,1012.56,12.64,Cloudy
15.3,33.06,1024.49,6.75,Partly Cloudy
33.35,17.44,989.74,14.86,Sunny
26.35,95.11,992.88,17.42,Rainy
9.68,97.31,964.07,41.91,Stormy
20.35,61.79,1012.78,24.7,Cloudy
19.88,45.63,1003.04,26.32,Partly Cloudy
34.68,11.34,1001.69,0.26,Sunny
26.68,79.85,988.88,15.97,Rainy
0.7,57.93,969.9,34.6,Stormy
15.07,79.95,1009.52,23.26,Cloudy
28.74,43.64,990.8,10.85,Partly Cloudy
37.45,30.39,989.45,5.65,Sunny
22.6,85.84,1005.55,7.61,Rainy
13.63,72.07,987.32,48.61,Stormy
23.61,51.71,972.34,17.15,Cloudy
18.63,55.64,1036.13,7.81,Partly Cloudy
31.78,15.77,1015.76,14.47,Sunny
22.18,73.12,1001.41,13.94,Rainy
5.32,94.37,998.79,41.16,Stormy
18.49,58.93,995.07,16.59,Cloudy
16.04,32.69,987.69,9.95,Partly Cloudy
33.13,28.05,1004.34,5.82,Sunny
21.32,95.03,989.05,19.76,Rainy
6.59,82.48,952.52,43.07,Stormy
22.77,78.27,1019.84,14.23,Cloudy
21.51,48.03,1009.47,8.94,Partly Cloudy
37.84,37.29,997.99,4.21,Sunny
17.11,90.51,982.49,18.19,Rainy
10.07,82.28,977.97,30.92,Stormy
23.98,68.84,1019.64,18.06,Cloudy
24.2,32.25,1014.22,24.12,Partly Cloudy
36.68,33.1,989.05,14.63,Sunny
29.93,72.27,1007.46,5.79,Rainy
10.34,66.91,998.39,32.03,Stormy
17.47,62.84,979.56,19.68,Cloudy
12.62,58.67,1038.64,25.11,Partly Cloudy
37.9,20.79,993.0,7.76,Sunny
15.69,98.36,975.75,18.06,Rainy
1.25,91.13,957.6,30.76,Stormy
20.79,58.41,1002.87,18.33,Cloudy
12.18,67.29,1001.66,23.36,Partly Cloudy
32.52,28.13,992.11,3.01,Sunny
23.14,83.21,985.6,13.45,Rainy
10.36,52.3,966.94,38.24,Stormy
11.45,57.08,963.1,24.94,Cloudy
24.73,33.5,971.42,22.98,Partly Cloudy
31.59,33.6,1016.94,8.99,Sunny
17.81,93.47,1008.23,11.6,Rainy
10.23,66.87,969.08,44.69,Stormy
23.92,68.87,1007.39,12.57,Cloudy
14.24,51.28,982.36,20.87,Partly Cloudy
29.37,33.75,1012.32,6.96,Sunny
17.71,89.4,1009.71,12.45,Rainy
0.54,50.86,966.02,33.92,Stormy
22.2,75.34,975.52,14.88,Cloudy
14.72,66.34,1005.19,21.4,Partly Cloudy
31.23,28.93,995.43,5.1,Sunny
24.52,87.73,981.74,2.99,Rainy
5.53,70.76,981.43,48.29,Stormy
10.54,57.31,971.62,17.53,Cloudy
18.59,59.16,986.97,19.86,Partly Cloudy
38.26,37.32,1018.35,11.6,Sunny
28.59,77.04,977.9,0.13,Rainy
10.6,96.87,959.35,42.74,Stormy
21.2,77.83,998.81,24.55,Cloudy
16.89,44.0,1008.01,14.59,Partly Cloudy
25.02,31.95,1010.07,11.2,Sunny
20.18,85.67,984.4,0.32,Rainy
8.44,56.19,954.0,45.11,Stormy
10.14,78.77,990.92,24.75,Cloudy
11.16,53.34,994.45,26.09,Partly Cloudy
30.42,17.81,1014.3,5.62,Sunny
15.25,81.71,996.18,5.09,Rainy
6.48,52.84,979.4,45.13,Stormy
16.2,62.61,965.3,13.03,Cloudy
13.09,49.27,1007.05,28.72,Partly Cloudy
26.1,28.0,1001.06,7.74,Sunny
28.1,76.17,971.63,13.45,Rainy
5.18,50.88,962.57,36.19,Stormy
19.25,55.18,984.78,17.24,Cloudy
19.18,68.96,973.19,28.77,Partly Cloudy
33.73,33.87,997.22,6.81,Sunny
28.19,96.88,979.55,3.98,Rainy
7.44,95.01,966.12,43.04,Stormy
20.62,73.36,993.84,16.04,Cloudy
29.34,54.45,1021.0,13.62,Partly Cloudy
35.05,17.73,989.8,10.72,Sunny
22.82,90.5,980.78,11.97,Rainy
6.66,79.85,964.54,44.31,Stormy
22.09,57.8,978.04,19.92,Cloudy
23.91,58.16,1017.79,14.82,Partly Cloudy
30.92,17.64,986.27,10.39,Sunny
16.4,98.13,1003.07,17.15,Rainy
13.6,70.43,992.34,33.16,Stormy
10.32,73.55,964.49,24.83,Cloudy
23.5,60.14,987.21,21.85,Partly Cloudy
25.65,35.13,986.78,10.46,Sunny
18.37,72.05,989.26,3.39,Rainy
10.94,61.88,967.12,41.35,Stormy
14.27,61.34,1008.94,12.69,Cloudy
11.64,43.13,999.71,18.57,Partly Cloudy
30.59,33.7,981.57,6.48,Sunny
